App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
www.doncasterfreepress.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",24299487,UK General Market
solicitors.lawsociety.org.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",24233351,UK General Market
www.gazetteandherald.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",24177372,UK General Market
www.realtimetrains.co.uk,,Digital Video,white,Travel & Transport,"Streaming, Digital Video",23586227,UK General Market
www.suffolknews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",23573902,UK General Market
www.peterboroughtoday.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",23393511,UK General Market
www.ibtimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",23196301,UK General Market
studyrocket.co.uk,,Digital Video,white,Education & Reference,"Streaming, Digital Video",23050155,UK General Market
www.nationalrail.co.uk,,Digital Video,white,Travel & Transport,"Streaming, Digital Video",22767500,UK General Market
www.thewestmorlandgazette.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",22523630,UK General Market
www.northantstelegraph.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",22271145,UK General Market
www.name-generator.org.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",22199382,UK General Market
www.ukworkshop.co.uk,,Digital Video,white,Shopping & Deals,"Streaming, Digital Video",21909322,UK General Market
www.northnorfolknews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",21338226,UK General Market
www.se80.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",21282172,UK General Market
savvybites.co.uk,,Digital Video,white,Food & Recipes,"Streaming, Digital Video",20967388,UK General Market
www.digitalspy.com,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",20909573,UK General Market
www.runcornandwidnesworld.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",20510713,UK General Market
www.heart.co.uk,,Digital Video,white,Radio & Audio,"Streaming, Digital Video",19993089,UK General Market
www.hertsad.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",19509411,UK General Market
www.astonvillanews.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",19133746,UK General Market
www.gq-magazine.co.uk,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",19098107,UK General Market
www.wearepalace.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",18743330,UK General Market
www.manuals.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",18738599,UK General Market
www.classicfm.com,,Digital Video,white,Radio & Audio,"Streaming, Digital Video",18479144,UK General Market
www.proactiveinvestors.co.uk,,Digital Video,white,"Business, Finance & Jobs","Streaming, Digital Video",18310473,UK General Market
www.liverpoolworld.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",18166973,UK General Market
www.westbromnews.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",17891934,UK General Market
www.fantasyfootballscout.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",17878050,UK General Market
www.halifaxcourier.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",17824413,UK General Market
www.inverness-courier.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",17812551,UK General Market
www.clactonandfrintongazette.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",17607301,UK General Market
pasoti.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",17510946,UK General Market
www.thisisoxfordshire.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",17289990,UK General Market
www.arrse.co.uk,,Digital Video,white,Forums & Communities,"Streaming, Digital Video",17178395,UK General Market
www.newsletter.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",17085271,UK General Market
www.doogal.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",16990396,UK General Market
www.stroudnewsandjournal.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",16701374,UK General Market
www.huntspost.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",16611095,UK General Market
www.bridportnews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",16474234,UK General Market
